State,Area Name,Poverty Total,Poverty Pct,Median Household Income,Less than a high school diploma,High school diploma only,Some college or associate's degree,Bachelor's degree or higher,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,Population,Birth Rate,Death Rate,FIPS,Unemployment Rate 
AL,Autauga County,"7,390",13.4,"58,343","4,521","12,363","10,697","9,176",12.3,33.6,29.1,25,"55,601",11.8,9.6,01001,3.6
AL,Baldwin County,"21,199",10.1,"56,607","13,997","39,771","45,286","43,968",9.8,27.8,31.7,30.7,"218,022",10.5,10.3,01003,3.6
AL,Barbour County,"7,414",33.4,"32,490","4,960","6,549","4,707","2,218",26.9,35.5,25.5,12,"24,881",10.4,12.9,01005,5.2
AL,Bibb County,"4,137",20.2,"45,795","2,833","6,958","3,971","2,097",17.9,43.9,25,13.2,"22,400",11.1,11.4,01007,4
AL,Blount County,"7,343",12.8,"48,253","7,980","12,740","13,583","5,172",20.2,32.3,34.4,13.1,"57,840",11.8,11.4,01009,3.5
AL,Bullock County,"2,956",34.4,"29,113","2,113","2,699","1,575",990,28.6,36.6,21.4,13.4,"10,138",11.3,11.8,01011,4.7
AL,Butler County,"4,154",21.3,"36,842","2,645","5,637","3,423","2,253",18.9,40.4,24.5,16.1,"19,680",11.2,12.1,01013,4.8
AL,Calhoun County,"19,832",17.7,"45,937","13,254","25,440","26,168","14,113",16.8,32.2,33.1,17.9,"114,277",11.3,13.1,01015,4.7
AL,Chambers County,"6,036",18.2,"36,883","4,537","9,109","6,894","3,158",19.1,38.4,29.1,13.3,"33,615",10.6,13.7,01017,3.9
AL,Cherokee County,"4,381",17.2,"44,842","3,850","7,179","5,424","2,344",20.5,38.2,28.9,12.5,"26,032",8.4,13.1,01019,3.6
AL,Chilton County,"7,303",16.8,"46,405","5,391","12,902","6,920","4,484",18.2,43.4,23.3,15.1,"44,153",11.9,11.5,01021,3.6
AL,Choctaw County,"3,031",23.7,"36,711","1,881","3,766","2,702","1,100",19.9,39.9,28.6,11.6,"12,841",10.4,13.7,01023,5.5
AL,Clarke County,"5,541",23.3,"36,719","3,136","7,503","4,089","2,193",18.5,44.3,24.2,13,"23,920",11.1,12.8,01025,7.5
AL,Clay County,"2,363",18.1,"39,642","2,525","3,188","2,772",970,26.7,33.7,29.3,10.3,"13,275",9.6,13.3,01027,3.9
AL,Cleburne County,"2,365",16.1,"45,480","2,512","3,887","2,705","1,283",24.2,37.4,26,12.4,"14,987",11.2,13.2,01029,4.2
AL,Coffee County,"7,954",15.5,"51,998","5,075","10,190","11,594","7,877",14.6,29.3,33.4,22.7,"51,909",12.6,10.4,01031,3.9
AL,Colbert County,"8,324",15.4,"46,100","6,181","12,958","12,077","7,207",16.1,33.7,31.4,18.8,"54,762",11.2,12.5,01033,4.6
AL,Conecuh County,"2,939",23.7,"30,796","1,842","4,208","1,954",768,21,48,22.3,8.8,"12,277",10.2,14.8,01035,5.2
AL,Coosa County,"1,823",17.4,"42,442","1,887","3,123","2,215",892,23.2,38.5,27.3,11,"10,715",8.4,11.4,01037,4.2
AL,Covington County,"6,447",17.7,"39,093","4,743","9,397","8,177","4,099",18,35.6,31,15.5,"36,986",11.5,14.5,01039,4.6
AL,Crenshaw County,"2,722",19.9,"38,419","1,981","3,625","2,420","1,562",20.7,37.8,25.2,16.3,"13,824",10.2,13.1,01041,4.1
AL,Cullman County,"11,256",13.8,"45,925","10,147","20,338","17,778","8,457",17.9,35.9,31.3,14.9,"83,442",11.8,12.5,01043,3.3
AL,Dale County,"8,528",17.7,"42,572","4,673","10,839","12,189","5,587",14,32.6,36.6,16.8,"48,956",13.3,11.2,01045,4.2
AL,Dallas County,"10,796",27.9,"31,329","5,025","9,822","8,193","3,809",18.7,36.6,30.5,14.2,"38,310",11.9,13.7,01047,6.5
AL,DeKalb County,"13,785",19.5,"39,906","12,571","16,211","12,710","6,202",26.4,34,26.6,13,"71,385",11.4,11.3,01049,3.8
AL,Elmore County,"9,151",12,"59,652","7,531","18,829","16,289","12,629",13.6,34.1,29.5,22.8,"81,887",11,10,01051,3.4
AL,Escambia County,"7,971",23.3,"37,870","4,927","11,346","6,477","3,146",19,43.8,25,12.1,"36,748",11.8,13.2,01053,4.6
AL,Etowah County,"18,257",18.1,"41,791","12,156","23,315","24,155","12,119",16.9,32.5,33.7,16.9,"102,501",11.4,14.3,01055,4.1
AL,Fayette County,"3,146",19.4,"39,394","2,385","4,444","3,174","1,712",20.4,37.9,27.1,14.6,"16,433",10.1,13.7,01057,4.1
AL,Franklin County,"6,394",20.5,"41,025","4,903","7,767","5,286","2,778",23.6,37.5,25.5,13.4,"31,363",13.5,11.6,01059,3.7
AL,Geneva County,"5,659",21.7,"38,561","3,920","6,655","6,015","2,076",21,35.7,32.2,11.1,"26,314",10.3,13.5,01061,3.9
AL,Greene County,"2,752",33.2,"28,108","1,365","2,156","1,646",663,23.4,37,28.2,11.4,"8,233",12,11.8,01063,6.7
AL,Hale County,"3,654",25.1,"34,905","1,925","4,343","2,429","1,464",18.9,42.7,23.9,14.4,"14,726",12.6,14,01065,5.1
AL,Henry County,"2,882",17,"48,094","2,348","4,105","3,596","2,074",19.4,33.9,29.7,17.1,"17,209",10.6,12.7,01067,4.4
AL,Houston County,"17,095",16.6,"44,753","10,455","22,694","23,186","14,903",14.7,31.9,32.5,20.9,"104,722",12.2,11.3,01069,4
AL,Jackson County,"8,539",16.6,"42,658","6,893","15,080","10,087","4,956",18.6,40.7,27.3,13.4,"51,736",11,13.1,01071,4.1
AL,Jefferson County,"107,752",16.7,"50,731","47,558","119,622","137,189","142,679",10.6,26.8,30.7,31.9,"659,300",12.8,11.1,01073,3.7
AL,Lamar County,"2,570",18.7,"39,796","2,034","3,736","2,851","1,317",20.5,37.6,28.7,13.3,"13,844",9.7,14.1,01075,3.8
AL,Lauderdale County,"12,395",13.7,"46,646","8,934","22,269","17,735","14,230",14.1,35.3,28.1,22.5,"92,387",9.4,12.1,01077,4.2
AL,Lawrence County,"5,494",16.8,"42,912","5,136","9,546","6,308","2,380",22,40.8,27,10.2,"32,957",10.8,12.4,01079,4.2
AL,Lee County,"27,901",17.8,"51,372","9,303","22,660","28,267","32,222",10.1,24.5,30.6,34.9,"163,941",11.5,6.8,01081,3.6
